condition,meeting,block_id,in_baseline,in_condition,speaker,start,word_count,text
A2_size3_off0_repeat,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",69,1,0,SPEAKER_07,3712.07,39,listed for the cbd job dollars to repair do you have a stock number how many we have funded with cdbg how many are going to be funded and the repairs being done is there a stock number a
A2_size3_off0_repeat,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",71,1,0,SPEAKER_07,3808.62,15,so so you're looking at probably repairing what three houses with that particular money depends
A2_size3_off0_repeat,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",92,1,0,SPEAKER_00,5918.18,5,"Council President, if I may."
A2_size3_off0_repeat,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",58,1,0,SPEAKER_21,4377.06,14,you council president the economic development committee did not meet thank you finance committee
A2_size3_off0_repeat,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",107,0,1,SPEAKER_18,6144.36,359,comments for this Alexander King 600 block of North Shippen so kind of to play up Tony Dastro's comments I'd like to say parking management in the city is an unmitigated disaster it seems to be a sort of grassroots sort of thing which seems to be the dumbest way to plan anything I've lived in a lot 
A2_size3_off0_repeat,"City Council Meeting - August 26, 2025 [WImQYrQa0EM]",54,1,0,SPEAKER_15,3693.54,250,equipment or well I can share what I know specifically related to the AV equipment and maybe just the technological expenses overall you can address but um yes so there there has been money allocated for the av equipment um for this year uh there's a company that we've engaged to make long needed up
A2_size3_off0_repeat,"City Council Meeting - August 26, 2025 [WImQYrQa0EM]",55,1,0,SPEAKER_14,3775.38,35,add yeah um yeah thanks i will just say too that this is we're actually purchasing the equipment with the grant that we received so it's not coming out of the general operating fund budget
A2_size3_off0_repeat,"City Council Meeting - February 11, 2025 [JJbmuzCmd6s]_standard",16,1,0,SPEAKER_03,695.13,10,council president the Economic Development Committee did not meet thank
A2_size3_off0_repeat,"City Council Meeting - February 11, 2025 [JJbmuzCmd6s]_standard",61,1,0,SPEAKER_08,1779.99,15,She can explain it now. Okay. That's why I'm asking. Great. Just wanna make sure.
A2_size3_off0_repeat,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",31,0,1,SPEAKER_25,3220.95,522,next speaker next speaker is Ann Torres good evening hi my name is Ann Torres I live in lettuce but I work in Lancaster years back my friend had a baby through IVF they finally had their baby but over time they noticed that he was having issues breathing in and out of hospitals extensive stays but n
A2_size3_off0_repeat,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",64,1,0,SPEAKER_22,6235.04,246,the unfunded category can you talk a little bit more about that yes um there were some assumptions made and this is a combination of upgrades that we might need to make in our separate sewer areas these this is a placeholder because we don't know yet what those might be the other thing the other sor
A2_size3_off0_repeat,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_standard",68,0,1,SPEAKER_14,2966.87,16,"I will hear a motion. Council President, if I may, I'd like to nominate Erica Molina-Potter."
