model,meeting,bucket,block_id_standard,block_id_exclusive,flagged_standard,flagged_exclusive,start,speaker_standard,speaker_exclusive,text_standard,text_exclusive
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_identical,142,139,1,0,6875.74,SPEAKER_09,SPEAKER_09,"Yes, it will. Both internal and external rate payers.","Yes, it will. Both internal and external rate payers."
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_identical,147,144,1,0,6934.42,SPEAKER_09,SPEAKER_09,"Yes, please, because it's a good calculator.","Yes, please, because it's a good calculator."
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_identical,156,153,1,0,7346.84,SPEAKER_06,SPEAKER_06,Thank you.,Thank you.
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,243,238,0,1,10744.88,SPEAKER_14,SPEAKER_14,Second.,Second.
gemma-4-4b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_identical,196,193,0,1,9224.53,SPEAKER_16,SPEAKER_16,"Thank you, Council President. Community planning has one item on the agenda this evening. It's administration bill number 3-2025 authorizing the sale of real property. And that's me,","Thank you, Council President. Community planning has one item on the agenda this evening. It's administration bill number 3-2025 authorizing the sale of real property. And that's me,"
gemma-4-4b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,225,220,1,0,10073.87,SPEAKER_00,SPEAKER_00,um in reference even when we talked about the redevelopment authority when we're um they're taking people's homes they don't just give it to the they have a realtor that comes out to sell it and different people get to bid on it so keep that in mind so this is city property that we own,um in reference even when we talked about the redevelopment authority when we're um they're taking people's homes they don't just give it to the they have a realtor that comes out to sell it and different people get to bid on it so keep that in mind so this is city property that we own
gemma-4-4b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,227,222,0,1,10160.0,SPEAKER_01,SPEAKER_01,"Holland Avenue. So this is concerning to me because the way I see this is as creating a method of private sale for public goods. There is a reason I think the bidding process is in place and there is, as far as I understand, there's nothing prohibiting us from being more open about our advertising. ","Holland Avenue. So this is concerning to me because the way I see this is as creating a method of private sale for public goods. There is a reason I think the bidding process is in place and there is, as far as I understand, there's nothing prohibiting us from being more open about our advertising. "
gemma-4-4b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,234,229,1,0,10485.53,SPEAKER_07,SPEAKER_07,and the city is in desperate need of a low-income subsidized housing and I don't think that HUD or the Housing Authority would be more than happy to grab this to put some housing for the people in the city of Lancaster they are desperate there's more and more homeless people out there so I don't thi,and the city is in desperate need of a low-income subsidized housing and I don't think that HUD or the Housing Authority would be more than happy to grab this to put some housing for the people in the city of Lancaster they are desperate there's more and more homeless people out there so I don't thi
gemma-4-4b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,239,234,0,1,10714.3,SPEAKER_13,SPEAKER_13,"Councilor Arroyo, this date was chosen for a particular reason?","Councilor Arroyo, this date was chosen for a particular reason?"
ministral-8b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_identical,141,138,1,0,6870.76,SPEAKER_17,SPEAKER_17,"It will raise for the residents anyway, right?","It will raise for the residents anyway, right?"
ministral-8b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",text_differs,178,175,0,1,8048.11,SPEAKER_07,SPEAKER_07,we're not talking about that one yet okay okay yeah so I could just mention you had mentioned that people's ideas are in order to cut waste or cut funding or try to save as much are you using city residents workers skilled workers Thaddeus Stevens you know people that are actually and you know in th,"you had mentioned that people's ideas are in order to cut waste or cut funding or try to save as much are you using city residents workers skilled workers Thaddeus Stevens you know people that are actually and you know in the city that can do these for less costs in terms of looking for contractors,"
ministral-8b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,225,220,1,0,10073.87,SPEAKER_00,SPEAKER_00,um in reference even when we talked about the redevelopment authority when we're um they're taking people's homes they don't just give it to the they have a realtor that comes out to sell it and different people get to bid on it so keep that in mind so this is city property that we own,um in reference even when we talked about the redevelopment authority when we're um they're taking people's homes they don't just give it to the they have a realtor that comes out to sell it and different people get to bid on it so keep that in mind so this is city property that we own
ministral-8b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,226,221,1,0,10092.4,SPEAKER_07,SPEAKER_07,so I would keep that in mind yes and it is a competitive market um and there are a lot of programs not being used for first-time homebuyers and there are a lot of families that could use properties across the city that is being taken by bidders there's a reason why the city precluded this from or fr,so I would keep that in mind yes and it is a competitive market um and there are a lot of programs not being used for first-time homebuyers and there are a lot of families that could use properties across the city that is being taken by bidders there's a reason why the city precluded this from or fr
ministral-8b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,238,233,1,0,10695.66,SPEAKER_07,SPEAKER_07,"Just one quick question. November 18th through the 19th, is that like a marked date representing anything in the history of Puerto Rico that we can raise it on that date, or can you accept a more historical date?","Just one quick question. November 18th through the 19th, is that like a marked date representing anything in the history of Puerto Rico that we can raise it on that date, or can you accept a more historical date?"
phi-4,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_identical,95,95,0,1,5403.16,SPEAKER_00,SPEAKER_00,understands everything that's going on but as I come to these meetings and I hear about these resolutions it makes me want to ask more questions at the last council meeting we are approved to go for pen best I think for nine million dollars is that correct no okay yeah it was nine point one thank yo,understands everything that's going on but as I come to these meetings and I hear about these resolutions it makes me want to ask more questions at the last council meeting we are approved to go for pen best I think for nine million dollars is that correct no okay yeah it was nine point one thank yo
phi-4,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,109,107,1,0,5853.18,SPEAKER_06,SPEAKER_06,director campbell just to clarify my point there the the funds that we use to pay for our water property tax our property tax bill that's our water bill is that correct,director campbell just to clarify my point there the the funds that we use to pay for our water property tax our property tax bill that's our water bill is that correct
phi-4,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,110,108,0,1,5863.66,SPEAKER_09,SPEAKER_09,the funds we pay for our water are rate payers right here so including those non-city residents so the the debt service that for funds that are borrowed to do capital work in the in the water,the funds we pay for our water are rate payers right here so including those non-city residents so the the debt service that for funds that are borrowed to do capital work in the in the water
phi-4,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,111,109,0,1,5875.34,SPEAKER_14,SPEAKER_14,fund or the wastewater fund is paid for by those rates just for clarification,fund or the wastewater fund is paid for by those rates just for clarification
phi-4,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_identical,118,115,1,0,6005.46,SPEAKER_14,SPEAKER_14,different and this is for the internal water service line inventory which is still the inventory is still taking place there hasn't been any replacement yet of the internal service line,different and this is for the internal water service line inventory which is still the inventory is still taking place there hasn't been any replacement yet of the internal service line
phi-4,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_identical,119,116,1,0,6017.22,SPEAKER_09,SPEAKER_09,correct thank you just just as a reference one may want to look on at the list of projects because it's very easy to confuse one penvest application request with another there is a list of projects i believe it's currently on the the project the list of projects for which the capital budget is suppo,correct thank you just just as a reference one may want to look on at the list of projects because it's very easy to confuse one penvest application request with another there is a list of projects i believe it's currently on the the project the list of projects for which the capital budget is suppo
phi-4,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_identical,122,119,1,0,6246.74,SPEAKER_14,SPEAKER_14,"Thank you, Director Campbell. Just a quick question. So the interim financing, is that being pursued due to the urgency of this particular project?","Thank you, Director Campbell. Just a quick question. So the interim financing, is that being pursued due to the urgency of this particular project?"
phi-4,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",text_differs,178,175,1,0,8048.11,SPEAKER_07,SPEAKER_07,we're not talking about that one yet okay okay yeah so I could just mention you had mentioned that people's ideas are in order to cut waste or cut funding or try to save as much are you using city residents workers skilled workers Thaddeus Stevens you know people that are actually and you know in th,"you had mentioned that people's ideas are in order to cut waste or cut funding or try to save as much are you using city residents workers skilled workers Thaddeus Stevens you know people that are actually and you know in the city that can do these for less costs in terms of looking for contractors,"
phi-4,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_identical,186,183,0,1,8539.35,SPEAKER_14,SPEAKER_14,and recreation master plan I just want to agree with mr. Campbell when he said,and recreation master plan I just want to agree with mr. Campbell when he said
phi-4,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_identical,203,200,0,1,9454.6,SPEAKER_02,SPEAKER_02,great just for the next meeting if we could just have that yeah i think it's in the ordinance if,great just for the next meeting if we could just have that yeah i think it's in the ordinance if
phi-4,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,219,214,1,0,9769.23,SPEAKER_03,SPEAKER_03,i guess i would just hope that we would still have the ability of the intention of what that property,i guess i would just hope that we would still have the ability of the intention of what that property
phi-4,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,220,215,1,0,9774.27,SPEAKER_08,SPEAKER_08,becomes that's also through a whole zoning process and so um and that information that we've collected related to zoning uh for that particular parcel would be part of the sale and typically sales of properties in the city of langley lancaster are contingent have contingencies related to them gettin,becomes that's also through a whole zoning process and so um and that information that we've collected related to zoning uh for that particular parcel would be part of the sale and typically sales of properties in the city of langley lancaster are contingent have contingencies related to them gettin
phi-4,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,221,216,1,0,9816.19,SPEAKER_03,SPEAKER_03,that is a very standard practice thank you and that answers some of my questions but i look,that is a very standard practice thank you and that answers some of my questions but i look
phi-4,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,225,220,1,0,10073.87,SPEAKER_00,SPEAKER_00,um in reference even when we talked about the redevelopment authority when we're um they're taking people's homes they don't just give it to the they have a realtor that comes out to sell it and different people get to bid on it so keep that in mind so this is city property that we own,um in reference even when we talked about the redevelopment authority when we're um they're taking people's homes they don't just give it to the they have a realtor that comes out to sell it and different people get to bid on it so keep that in mind so this is city property that we own
phi-4,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,226,221,1,0,10092.4,SPEAKER_07,SPEAKER_07,so I would keep that in mind yes and it is a competitive market um and there are a lot of programs not being used for first-time homebuyers and there are a lot of families that could use properties across the city that is being taken by bidders there's a reason why the city precluded this from or fr,so I would keep that in mind yes and it is a competitive market um and there are a lot of programs not being used for first-time homebuyers and there are a lot of families that could use properties across the city that is being taken by bidders there's a reason why the city precluded this from or fr
phi-4,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,230,225,1,0,10321.48,SPEAKER_08,SPEAKER_08,weren't made aware of that at Planning Commission okay I will just say that you know we are planning to bring the first tranche and I think Councillor Mead reported on this as part of his transition committee report that we're going to plan to bring the first tranche if an admin code changes to coun,weren't made aware of that at Planning Commission okay I will just say that you know we are planning to bring the first tranche and I think Councillor Mead reported on this as part of his transition committee report that we're going to plan to bring the first tranche if an admin code changes to coun
phi-4,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,231,226,1,0,10366.34,SPEAKER_01,SPEAKER_01,change the process just yet and pausing this three months we we need to have bigger community community conversation about the idea of changing these public processes thank you that's what we're,change the process just yet and pausing this three months we we need to have bigger community community conversation about the idea of changing these public processes thank you that's what we're
phi-4,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,232,227,1,0,10378.57,SPEAKER_07,SPEAKER_07,"we're here for. Thank you. I just want to add, I just want to add real quickly, there are non-profit organizations such as churches, multiple, a substantial amount of churches throughout the city of Lancaster that could use that. That is true. And we could, and they're not being, I work with multipl","we're here for. Thank you. I just want to add, I just want to add real quickly, there are non-profit organizations such as churches, multiple, a substantial amount of churches throughout the city of Lancaster that could use that. That is true. And we could, and they're not being, I work with multipl"
phi-4,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,239,234,0,1,10714.3,SPEAKER_13,SPEAKER_13,"Councilor Arroyo, this date was chosen for a particular reason?","Councilor Arroyo, this date was chosen for a particular reason?"
qwen3.5-9b-q6,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_identical,29,29,1,0,1578.37,SPEAKER_02,SPEAKER_02,and I think we could present these as well I think these are presented on the website prior to council meetings and prepared for public availability hi I'm,and I think we could present these as well I think these are presented on the website prior to council meetings and prepared for public availability hi I'm
qwen3.5-9b-q6,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,223,218,0,1,9839.89,SPEAKER_00,SPEAKER_00,"Yes, Darlene Bird. I think council needs to be very cautious in what they're doing. I think this goes under an administration code. I think to once you put that in place as one of the things you would be deciding is who has the authority to make those decisions. So if it becomes the administration, ","Yes, Darlene Bird. I think council needs to be very cautious in what they're doing. I think this goes under an administration code. I think to once you put that in place as one of the things you would be deciding is who has the authority to make those decisions. So if it becomes the administration, "
